seed,status,score,bucket,reason,elapsed_ms,expanded_nodes,unique_states
7496,solved,130555.138000,Easy,,5604.327,5043,9310
7497,solved,129654.950000,Easy,,2601.998,1113,3087
7498,unknown,,unknown,limits_reached,20005.493,11874,151788
7499,solved,140965.136000,Medium,,1338.114,1162,2652
7500,unknown,,unknown,limits_reached,20007.145,16548,117623
7501,solved,180473.516000,Hard,,5747.243,5020,5913
7502,unknown,,unknown,limits_reached,20006.781,11038,122107
7503,unknown,,unknown,limits_reached,20218.320,22747,109810
7504,unknown,,unknown,limits_reached,20096.217,29787,119671
7505,unknown,,unknown,limits_reached,20010.111,15084,118459
7506,unknown,,unknown,limits_reached,20004.822,10491,125322
7507,solved,138381.059000,Medium,,5092.173,2964,6852
7508,unknown,,unknown,limits_reached,20003.031,18269,101313
7509,unknown,,unknown,limits_reached,20004.515,15469,119407
7510,unknown,,unknown,limits_reached,20004.262,17890,123050
7511,unknown,,unknown,limits_reached,13011.861,12316,127754
7512,unknown,,unknown,limits_reached,20003.484,35509,71912
7513,unknown,,unknown,limits_reached,20003.346,18265,110074
7514,solved,147299.538000,Hard,,2036.036,829,1614
7515,unknown,,unknown,limits_reached,20000.963,23620,143054
7516,unknown,,unknown,limits_reached,20007.437,29293,97724
7517,unknown,,unknown,limits_reached,20002.443,16428,118966
7518,unknown,,unknown,limits_reached,20002.551,17939,133565
7519,unknown,,unknown,limits_reached,20003.107,28996,83918
7520,solved,133791.173000,Easy,,1376.878,427,1838
7521,unknown,,unknown,limits_reached,20007.463,11149,138192
7522,unknown,,unknown,limits_reached,20008.475,27995,97714
7523,solved,127993.228000,Easy,,2137.143,1049,4268
7524,unknown,,unknown,limits_reached,20012.681,19317,164078
7525,unknown,,unknown,limits_reached,20004.898,19937,131992
7526,solved,131428.836000,Easy,,913.486,381,980
7527,unknown,,unknown,limits_reached,20011.996,18193,119740
7528,unknown,,unknown,limits_reached,18449.654,37427,52273
7529,unknown,,unknown,limits_reached,20000.859,13597,138301
7530,solved,127408.114000,Easy,,420.926,329,921
7531,unknown,,unknown,limits_reached,20001.829,32767,67943
7532,solved,128500.356000,Easy,,552.492,319,950
7533,unknown,,unknown,limits_reached,20000.906,20217,136291
7534,solved,128320.533000,Easy,,2460.832,1006,2970
7535,solved,127835.388000,Easy,,1817.411,1286,2847
7536,unknown,,unknown,limits_reached,20013.024,14309,158049
7537,unknown,,unknown,limits_reached,20006.163,12132,121181
7538,unknown,,unknown,limits_reached,20009.875,18644,102128
7539,unknown,,unknown,limits_reached,20000.862,19360,137407
